code,name,market,is_etp,is_spac,is_preferred
229200,KODEX 코스닥150,KOSPI,True,False,False
229720,KODEX KTOP30,KOSPI,True,False,False
230480,KIWOOM 미국달러선물인버스2X,KOSPI,True,False,False
232080,TIGER 코스닥150,KOSPI,True,False,False
233160,TIGER 코스닥150 레버리지,KOSPI,True,False,False
233740,KODEX 코스닥150레버리지,KOSPI,True,False,False
234310,RISE V&S셀렉트밸류,KOSPI,True,False,False
236350,TIGER 인도니프티50레버리지(합성),KOSPI,True,False,False
237350,KODEX 코스피100,KOSPI,True,False,False
237370,KODEX 코리아배당성장채권혼합,KOSPI,True,False,False
237440,TIGER 경기방어채권혼합,KOSPI,True,False,False
238670,PLUS 스마트베타Quality채권혼합,KOSPI,True,False,False
238720,ACE 일본Nikkei225(H),KOSPI,True,False,False
239660,PLUS 우량회사채50,KOSPI,True,False,False
241180,TIGER 일본니케이225,KOSPI,True,False,False
241390,RISE V&S셀렉트밸류채권혼합,KOSPI,True,False,False
243880,TIGER 200IT레버리지,KOSPI,True,False,False
243890,TIGER 200에너지화학레버리지,KOSPI,True,False,False
244580,KODEX 바이오,KOSPI,True,False,False
244620,KODEX 모멘텀Plus,KOSPI,True,False,False
244660,KODEX 퀄리티Plus,KOSPI,True,False,False
244670,KODEX 밸류Plus,KOSPI,True,False,False
245340,TIGER 미국다우존스30,KOSPI,True,False,False
245350,TIGER 유로스탁스배당30,KOSPI,True,False,False
245360,TIGER 차이나HSCEI,KOSPI,True,False,False
245710,ACE 베트남VN30(합성),KOSPI,True,False,False
248270,TIGER S&P글로벌헬스케어(합성),KOSPI,True,False,False
250730,RISE 차이나HSCEI(H),KOSPI,True,False,False
250780,TIGER 코스닥150선물인버스,KOSPI,True,False,False
251340,KODEX 코스닥150선물인버스,KOSPI,True,False,False
251350,KODEX MSCI선진국,KOSPI,True,False,False
251590,PLUS 고배당저변동50,KOSPI,True,False,False
251600,PLUS 고배당주채권혼합,KOSPI,True,False,False
252000,TIGER 200동일가중,KOSPI,True,False,False
252400,RISE 200선물레버리지,KOSPI,True,False,False
252410,RISE 200선물인버스,KOSPI,True,False,False
252420,RISE 200선물인버스2X,KOSPI,True,False,False
252650,KODEX 200동일가중,KOSPI,True,False,False
252670,KODEX 200선물인버스2X,KOSPI,True,False,False
252710,TIGER 200선물인버스2X,KOSPI,True,False,False
253150,PLUS 200선물레버리지,KOSPI,True,False,False
253160,PLUS 200선물인버스2X,KOSPI,True,False,False
253230,KIWOOM 200선물인버스2X,KOSPI,True,False,False
253240,KIWOOM 200선물인버스,KOSPI,True,False,False
253250,KIWOOM 200선물레버리지,KOSPI,True,False,False
253280,RISE 헬스케어,KOSPI,True,False,False
253290,RISE 헬스케어채권혼합,KOSPI,True,False,False
256440,ACE MSCI인도네시아(합성),KOSPI,True,False,False
256450,PLUS 심천차이넥스트(합성),KOSPI,True,False,False
256750,KODEX 차이나심천ChiNext(합성),KOSPI,True,False,False
261060,TIGER 코스닥150IT,KOSPI,True,False,False
261070,TIGER 코스닥150바이오테크,KOSPI,True,False,False
261110,TIGER 미국달러선물레버리지,KOSPI,True,False,False
261120,TIGER 미국달러선물인버스2X,KOSPI,True,False,False
261140,TIGER 우선주,KOSPI,True,False,False
261220,KODEX WTI원유선물(H),KOSPI,True,False,False
261240,KODEX 미국달러선물,KOSPI,True,False,False
261250,KODEX 미국달러선물레버리지,KOSPI,True,False,False
261260,KODEX 미국달러선물인버스2X,KOSPI,True,False,False
261270,KODEX 미국달러선물인버스,KOSPI,True,False,False
261920,ACE MSCI필리핀(합성),KOSPI,True,False,False
26490K,크라운제과우,KOSPI,False,False,True
265690,ACE 러시아MSCI(합성),KOSPI,True,False,False
266160,RISE 고배당,KOSPI,True,False,False
266360,KODEX K콘텐츠,KOSPI,True,False,False
266370,KODEX IT,KOSPI,True,False,False
266390,KODEX 경기소비재,KOSPI,True,False,False
266410,KODEX 필수소비재,KOSPI,True,False,False
266420,KODEX 헬스케어,KOSPI,True,False,False
266550,PLUS 중형주저변동50,KOSPI,True,False,False
267440,RISE 미국장기국채선물(H),KOSPI,True,False,False
267450,RISE 미국장기국채선물인버스(H),KOSPI,True,False,False
267490,RISE 미국장기국채선물레버리지(합성 H),KOSPI,True,False,False
267770,TIGER 200선물레버리지,KOSPI,True,False,False
269370,TIGER S&P글로벌인프라(합성),KOSPI,True,False,False
269420,KODEX S&P글로벌인프라(합성),KOSPI,True,False,False
269530,PLUS S&P글로벌인프라,KOSPI,True,False,False
269540,PLUS 미국S&P500(H),KOSPI,True,False,False
270800,RISE KQ고배당,KOSPI,True,False,False
270810,RISE 코스닥150,KOSPI,True,False,False
271050,KODEX WTI원유선물인버스(H),KOSPI,True,False,False
271060,KODEX 3대농산물선물(H),KOSPI,True,False,False
272560,RISE 단기국공채액티브,KOSPI,True,False,False
272570,RISE 중장기국공채액티브,KOSPI,True,False,False
272580,TIGER 단기채권액티브,KOSPI,True,False,False
272910,ACE 중장기국공채액티브,KOSPI,True,False,False
273130,KODEX 종합채권(AA-이상)액티브,KOSPI,True,False,False
273140,KODEX 단기변동금리부채권액티브,KOSPI,True,False,False
275280,KODEX 모멘텀주,KOSPI,True,False,False
275290,KODEX 가치주,KOSPI,True,False,False
275300,KODEX 우량주,KOSPI,True,False,False
275750,RISE 코스닥150선물인버스,KOSPI,True,False,False
275980,TIGER 글로벌4차산업혁신기술(합성 H),KOSPI,True,False,False
276000,TIGER 글로벌자원생산기업(합성 H),KOSPI,True,False,False
276650,RISE 글로벌테크놀로지(합성 H),KOSPI,True,False,False
276970,KODEX 미국S&P500배당귀족커버드콜(합성 H),KOSPI,True,False,False
276990,KODEX 글로벌로봇(합성),KOSPI,True,False,False
277540,ACE 아시아TOP50,KOSPI,True,False,False
277630,TIGER 코스피,KOSPI,True,False,False
277640,TIGER 코스피대형주,KOSPI,True,False,False
277650,TIGER 코스피중형주,KOSPI,True,False,False
278240,RISE 코스닥150선물레버리지,KOSPI,True,False,False
278530,KODEX 200TR,KOSPI,True,False,False
278540,KODEX MSCI Korea TR,KOSPI,True,False,False
278620,PLUS 단기채권액티브,KOSPI,True,False,False
279530,KODEX 고배당주,KOSPI,True,False,False
279540,KODEX 최소변동성,KOSPI,True,False,False
280320,ACE 미국IT인터넷(합성 H),KOSPI,True,False,False
280920,PLUS 주도업종,KOSPI,True,False,False
280930,KODEX 미국러셀2000(H),KOSPI,True,False,False
280940,KODEX 골드선물인버스(H),KOSPI,True,False,False
281990,RISE 중소형고배당,KOSPI,True,False,False
282000,RISE 국고채3년선물인버스,KOSPI,True,False,False
283580,KODEX 차이나CSI300,KOSPI,True,False,False
284430,KODEX 200미국채혼합,KOSPI,True,False,False
284980,RISE 200금융,KOSPI,True,False,False
28513K,SK케미칼우,KOSPI,False,False,True
285690,FOCUS ESG리더스,KOSPI,True,False,False
287180,PLUS 미국나스닥테크,KOSPI,True,False,False
289040,KODEX MSCI KOREA ESG유니버설,KOSPI,True,False,False
289250,TIGER MSCI KOREA ESG유니버설,KOSPI,True,False,False
289260,TIGER MSCI KOREA ESG리더스,KOSPI,True,False,False
289480,TIGER 200커버드콜,KOSPI,True,False,False
289670,PLUS 국채선물10년,KOSPI,True,False,False
290080,RISE 200고배당커버드콜ATM,KOSPI,True,False,False
290130,RISE ESG사회책임투자,KOSPI,True,False,False
291130,ACE MSCI멕시코(합성),KOSPI,True,False,False
291620,KIWOOM 코스닥150선물인버스,KOSPI,True,False,False
291630,KIWOOM 코스닥150선물레버리지,KOSPI,True,False,False
291680,RISE 차이나H선물인버스(H),KOSPI,True,False,False
291890,KODEX MSCI EM선물(H),KOSPI,True,False,False
292050,RISE KRX300,KOSPI,True,False,False
292150,TIGER 코리아TOP10,KOSPI,True,False,False
292160,TIGER KRX300,KOSPI,True,False,False
292190,KODEX KRX300,KOSPI,True,False,False
292500,SOL KRX300,KOSPI,True,False,False
292560,TIGER 일본엔선물,KOSPI,True,False,False
